cap_time (utc)|acq_time (utc)|value|origin
2021-09-14 10:30:00,000|2021-09-21 09:05:59,004|0.220|1
2021-09-14 10:45:00,000|2021-09-21 09:05:59,472|1.804|1
2021-09-14 11:00:00,000|2021-09-21 09:05:59,882|3.290|1
2021-09-14 11:15:00,000|2021-09-21 09:06:00,406|4.654|1
2021-09-14 11:30:00,000|2021-09-21 09:06:00,921|6.143|1
2021-09-14 11:45:00,000|2021-09-21 09:06:01,346|7.667|1
2021-09-14 12:00:00,000|2021-09-21 09:06:01,860|9.323|1
2021-09-14 12:15:00,000|2021-09-21 09:06:02,284|10.817|1
2021-09-14 12:30:00,000|2021-09-21 09:06:02,733|12.518|1
2021-09-14 12:45:00,000|2021-09-21 09:06:03,144|14.196|1
2021-09-14 13:00:00,000|2021-09-21 09:06:03,562|15.728|1
2021-09-14 13:15:00,000|2021-09-21 09:06:03,986|17.309|1
2021-09-14 13:30:00,000|2021-09-21 09:06:04,610|18.810|1
2021-09-14 13:45:00,000|2021-09-21 09:06:05,174|20.242|1
2021-09-14 14:00:00,000|2021-09-21 09:06:05,696|21.486|1
2021-09-14 14:15:00,000|2021-09-21 09:06:06,204|22.241|1
2021-09-14 14:30:00,000|2021-09-21 09:06:06,834|22.935|1
2021-09-14 14:45:00,000|2021-09-21 09:06:07,464|23.653|1
2021-09-14 15:00:00,000|2021-09-21 09:06:08,274|24.375|1
2021-09-14 15:15:00,000|2021-09-21 09:06:09,190|25.129|1
2021-09-14 15:30:00,000|2021-09-21 09:06:10,220|26.051|1
2021-09-14 15:45:00,000|2021-09-21 09:06:10,919|26.677|1
2021-09-14 16:00:00,000|2021-09-21 09:06:11,521|27.279|1
2021-09-14 16:15:00,000|2021-09-21 09:06:12,258|28.055|1
2021-09-14 16:30:00,000|2021-09-21 09:06:12,848|28.783|1
2021-09-14 16:45:00,000|2021-09-21 09:06:13,726|29.404|1
2021-09-14 17:00:00,000|2021-09-21 09:06:14,509|29.830|1
2021-09-14 17:15:00,000|2021-09-21 09:06:15,292|30.484|1
2021-09-14 17:30:00,000|2021-09-21 09:06:16,111|31.020|1
2021-09-14 17:45:00,000|2021-09-21 09:06:16,986|31.574|1
2021-09-14 18:00:00,000|2021-09-21 09:06:17,810|32.083|1
2021-09-14 18:15:00,000|2021-09-21 09:06:18,632|32.595|1
2021-09-14 18:30:00,000|2021-09-21 09:06:19,487|33.137|1
2021-09-14 18:45:00,000|2021-09-21 09:06:20,347|33.650|1
2021-09-14 19:00:00,000|2021-09-21 09:06:21,214|34.152|1
2021-09-14 19:15:00,000|2021-09-21 09:06:22,040|34.651|1
2021-09-14 19:30:00,000|2021-09-21 09:06:22,871|35.250|1
2021-09-14 19:45:00,000|2021-09-21 09:06:23,658|35.814|1
2021-09-14 20:00:00,000|2021-09-21 09:06:24,480|36.400|1
2021-09-14 20:15:00,000|2021-09-21 09:06:25,311|36.905|1
2021-09-14 20:30:00,000|2021-09-21 09:06:26,147|37.409|1
2021-09-14 20:45:00,000|2021-09-21 09:06:26,957|37.906|1
2021-09-14 21:00:00,000|2021-09-21 09:06:27,758|38.431|1
2021-09-14 21:15:00,000|2021-09-21 09:06:28,576|38.928|1
2021-09-14 21:30:00,000|2021-09-21 09:06:29,492|39.430|1
2021-09-14 21:45:00,000|2021-09-21 09:06:30,323|39.906|1
2021-09-14 22:00:00,000|2021-09-21 09:06:31,139|40.399|1
2021-09-14 22:15:00,000|2021-09-21 09:06:31,972|40.919|1
2021-09-14 22:30:00,000|2021-09-21 09:06:32,790|41.404|1
2021-09-14 22:45:00,000|2021-09-21 09:06:33,590|41.892|1
2021-09-14 23:00:00,000|2021-09-21 09:06:34,310|42.413|1
2021-09-14 23:15:00,000|2021-09-21 09:06:35,146|42.887|1
2021-09-14 23:30:00,000|2021-09-21 09:06:35,973|43.408|1
2021-09-14 23:45:00,000|2021-09-21 09:06:36,862|43.915|1
2021-09-15 00:00:00,000|2021-09-21 09:06:37,742|44.397|1
2021-09-15 00:15:00,000|2021-09-21 09:06:38,550|44.976|1
2021-09-15 00:30:00,000|2021-09-21 09:06:39,379|45.564|1
2021-09-15 00:45:00,000|2021-09-21 09:06:40,198|46.082|1
2021-09-15 01:00:00,000|2021-09-21 09:06:41,076|46.577|1
2021-09-15 01:15:00,000|2021-09-21 09:06:41,873|47.119|1
2021-09-15 01:30:00,000|2021-09-21 09:06:42,723|47.617|1
2021-09-15 01:45:00,000|2021-09-21 09:06:43,515|48.106|1
2021-09-15 02:00:00,000|2021-09-21 09:06:44,377|48.596|1
2021-09-15 02:15:00,000|2021-09-21 09:06:45,184|49.131|1
2021-09-15 02:30:00,000|2021-09-21 09:06:46,016|49.659|1
2021-09-15 02:45:00,000|2021-09-21 09:06:46,846|50.137|1
2021-09-15 03:00:00,000|2021-09-21 09:06:47,435|50.636|1
2021-09-15 03:15:00,000|2021-09-21 09:06:48,061|51.174|1
2021-09-15 03:30:00,000|2021-09-21 09:06:48,611|51.669|1
2021-09-15 03:45:00,000|2021-09-21 09:06:49,026|52.212|1
2021-09-15 04:00:00,000|2021-09-21 09:06:49,815|52.730|1
2021-09-15 04:15:00,000|2021-09-21 09:06:50,440|53.238|1
2021-09-15 04:30:00,000|2021-09-21 09:06:51,159|53.806|1
2021-09-15 04:45:00,000|2021-09-21 09:06:51,675|54.393|1
2021-09-15 05:00:00,000|2021-09-21 09:06:52,109|54.863|1
