mv |acq_time (utc)|value|origin
2021-09-26 12:15:00,000|2021-09-27 11:13:03,958|1.022|1
2021-09-26 12:30:00,000|2021-09-27 11:13:04,847|1.023|1
2021-09-26 12:45:00,000|2021-09-27 11:13:05,975|1.023|1
2021-09-26 13:00:00,000|2021-09-27 11:13:06,955|1.025|1
2021-09-26 13:15:00,000|2021-09-27 11:13:08,066|1.025|1
2021-09-26 13:30:00,000|2021-09-27 11:13:09,082|1.027|1
2021-09-26 13:45:00,000|2021-09-27 11:13:10,130|1.027|1
2021-09-26 14:00:00,000|2021-09-27 11:13:11,072|1.028|1
2021-09-26 14:15:00,000|2021-09-27 11:13:11,971|1.029|1
2021-09-26 14:30:00,000|2021-09-27 11:13:12,914|1.029|1
2021-09-26 14:45:00,000|2021-09-27 11:13:13,821|1.030|1
2021-09-26 15:00:00,000|2021-09-27 11:13:14,724|1.031|1
2021-09-26 15:15:00,000|2021-09-27 11:13:15,647|1.031|1
2021-09-26 15:30:00,000|2021-09-27 11:13:16,688|1.033|1
2021-09-26 15:45:00,000|2021-09-27 11:13:17,632|1.033|1
2021-09-26 16:00:00,000|2021-09-27 11:13:18,473|1.034|1
2021-09-26 16:15:00,000|2021-09-27 11:13:19,313|1.035|1
2021-09-26 16:30:00,000|2021-09-27 11:13:20,217|1.036|1
2021-09-26 16:45:00,000|2021-09-27 11:13:21,128|1.036|1
2021-09-26 17:00:00,000|2021-09-27 11:13:22,072|1.038|1
2021-09-26 17:15:00,000|2021-09-27 11:13:22,956|1.038|1
2021-09-26 17:30:00,000|2021-09-27 11:13:23,868|1.038|1
2021-09-26 17:45:00,000|2021-09-27 11:13:24,779|1.040|1
2021-09-26 18:00:00,000|2021-09-27 11:13:25,682|1.040|1
2021-09-26 18:15:00,000|2021-09-27 11:13:26,588|1.040|1
2021-09-26 18:30:00,000|2021-09-27 11:13:27,493|1.041|1
2021-09-26 18:45:00,000|2021-09-27 11:13:28,404|1.041|1
2021-09-26 19:00:00,000|2021-09-27 11:13:29,313|1.042|1
2021-09-26 19:15:00,000|2021-09-27 11:13:30,222|1.043|1
2021-09-26 19:30:00,000|2021-09-27 11:13:31,138|1.045|1
2021-09-26 19:45:00,000|2021-09-27 11:13:32,042|1.045|1
2021-09-26 20:00:00,000|2021-09-27 11:13:33,064|1.046|1
2021-09-26 20:15:00,000|2021-09-27 11:13:34,103|1.046|1
2021-09-26 20:30:00,000|2021-09-27 11:13:34,950|1.048|1
2021-09-26 20:45:00,000|2021-09-27 11:13:35,900|1.048|1
2021-09-26 21:00:00,000|2021-09-27 11:13:36,752|1.050|1
2021-09-26 21:15:00,000|2021-09-27 11:13:38,095|1.050|1
2021-09-26 21:30:00,000|2021-09-27 11:13:39,336|1.051|1
2021-09-26 21:45:00,000|2021-09-27 11:13:40,603|1.052|1
2021-09-26 22:00:00,000|2021-09-27 11:13:41,711|1.053|1
2021-09-26 22:15:00,000|2021-09-27 11:13:43,145|1.054|1
2021-09-26 22:30:00,000|2021-09-27 11:13:44,242|1.055|1
2021-09-26 22:45:00,000|2021-09-27 11:13:45,182|1.056|1
2021-09-26 23:00:00,000|2021-09-27 11:13:46,255|1.057|1
2021-09-26 23:15:00,000|2021-09-27 11:13:47,305|1.057|1
2021-09-26 23:30:00,000|2021-09-27 11:13:48,180|1.059|1
2021-09-26 23:45:00,000|2021-09-27 11:13:49,229|1.060|1
2021-09-27 00:00:00,000|2021-09-27 11:13:50,276|1.060|1
2021-09-27 00:15:00,000|2021-09-27 11:13:51,320|1.060|1
2021-09-27 00:30:00,000|2021-09-27 11:13:52,361|1.061|1
2021-09-27 00:45:00,000|2021-09-27 11:13:53,455|1.062|1
2021-09-27 01:00:00,000|2021-09-27 11:13:54,300|1.063|1
2021-09-27 01:15:00,000|2021-09-27 11:13:55,181|1.064|1
2021-09-27 01:30:00,000|2021-09-27 11:13:56,095|1.065|1
2021-09-27 01:45:00,000|2021-09-27 11:13:57,004|1.065|1
2021-09-27 02:00:00,000|2021-09-27 11:13:57,915|1.066|1
2021-09-27 02:15:00,000|2021-09-27 11:13:58,823|1.067|1
2021-09-27 02:30:00,000|2021-09-27 11:13:59,735|1.068|1
2021-09-27 02:45:00,000|2021-09-27 11:14:00,644|1.069|1
2021-09-27 03:00:00,000|2021-09-27 11:14:01,556|1.070|1
2021-09-27 03:15:00,000|2021-09-27 11:14:02,463|1.071|1
2021-09-27 03:30:00,000|2021-09-27 11:14:03,410|1.071|1
2021-09-27 03:45:00,000|2021-09-27 11:14:04,299|1.071|1
2021-09-27 04:00:00,000|2021-09-27 11:14:05,295|1.072|1
2021-09-27 04:15:00,000|2021-09-27 11:14:06,140|1.074|1
2021-09-27 04:30:00,000|2021-09-27 11:14:07,019|1.075|1
2021-09-27 04:45:00,000|2021-09-27 11:14:07,928|1.077|1
2021-09-27 05:00:00,000|2021-09-27 11:14:08,839|1.077|1
2021-09-27 05:15:00,000|2021-09-27 11:14:09,740|1.078|1
2021-09-27 05:30:00,000|2021-09-27 11:14:10,758|1.078|1
2021-09-27 05:45:00,000|2021-09-27 11:14:12,430|1.079|1
2021-09-27 06:00:00,000|2021-09-27 11:14:14,148|1.080|1
2021-09-27 06:15:00,000|2021-09-27 11:14:15,778|1.082|1
2021-09-27 06:30:00,000|2021-09-27 11:14:17,475|1.083|1
2021-09-27 06:45:00,000|2021-09-27 11:14:19,090|1.086|1
2021-09-27 07:00:00,000|2021-09-27 11:14:20,632|1.087|1
2021-09-27 07:15:00,000|2021-09-27 11:14:23,118|1.090|1
2021-09-27 07:30:00,000|2021-09-27 11:14:24,730|1.091|1
2021-09-27 07:45:00,000|2021-09-27 11:14:26,473|1.094|1
2021-09-27 08:00:00,000|2021-09-27 11:14:28,937|1.097|1
2021-09-27 08:15:00,000|2021-09-27 11:14:30,876|1.098|1
2021-09-27 08:30:00,000|2021-09-27 11:14:32,497|1.100|1
2021-09-27 08:45:00,000|2021-09-27 11:14:34,143|1.102|1
2021-09-27 09:00:00,000|2021-09-27 11:14:36,231|1.103|1
2021-09-27 09:15:00,000|2021-09-27 11:14:37,840|1.106|1
2021-09-27 09:30:00,000|2021-09-27 11:14:39,582|1.108|1
2021-09-27 09:45:00,000|2021-09-27 11:14:41,262|1.110|1
2021-09-27 10:00:00,000|2021-09-27 11:14:43,459|1.112|1
2021-09-27 10:15:00,000|2021-09-27 11:14:45,458|1.113|1
2021-09-27 10:30:00,000|2021-09-27 11:14:47,085|1.117|1
2021-09-27 10:45:00,000|2021-09-27 11:14:48,641|1.119|1
2021-09-27 11:00:00,000|2021-09-27 11:14:50,302|1.121|1
2021-09-27 11:15:00,000|2021-09-27 11:16:59,525|1.123|1
2021-09-27 11:30:00,000|2021-09-27 11:31:40,476|1.125|1
2021-09-27 11:45:00,000|2021-09-27 11:46:22,630|1.127|1
2021-09-27 12:00:00,000|2021-09-27 12:16:51,366|1.128|1
2021-09-27 12:15:00,000|2021-09-27 12:16:52,212|1.129|1
2021-09-27 12:30:00,000|2021-09-27 12:31:37,396|1.131|1
2021-09-27 12:45:00,000|2021-09-27 12:46:19,208|1.133|1
2021-09-27 13:00:00,000|2021-09-27 13:02:05,863|1.135|1
2021-09-27 13:15:00,000|2021-09-27 13:16:49,486|1.137|1
2021-09-27 13:30:00,000|2021-09-27 13:31:33,620|1.138|1
2021-09-27 13:45:00,000|2021-09-27 13:46:12,933|1.139|1
2021-09-27 14:00:00,000|2021-09-27 14:01:55,444|1.140|1
2021-09-27 14:15:00,000|2021-09-27 14:16:36,660|1.141|1
2021-09-27 14:30:00,000|2021-09-27 14:31:16,158|1.141|1
2021-09-27 14:45:00,000|2021-09-27 14:47:00,508|1.142|1
2021-09-27 15:00:00,000|2021-09-27 15:01:41,998|1.143|1
2021-09-27 15:15:00,000|2021-09-27 15:16:27,340|1.144|1
2021-09-27 15:30:00,000|2021-09-27 15:31:08,692|1.146|1
2021-09-27 15:45:00,000|2021-09-27 15:46:53,994|1.147|1
2021-09-27 16:00:00,000|2021-09-27 16:01:36,733|1.148|1
2021-09-27 16:15:00,000|2021-09-27 16:16:17,451|1.149|1
2021-09-27 16:30:00,000|2021-09-27 16:32:01,895|1.150|1
2021-09-27 16:45:00,000|2021-09-27 16:46:41,832|1.151|1
2021-09-27 17:00:00,000|2021-09-27 17:01:20,479|1.152|1
2021-09-27 17:15:00,000|2021-09-27 17:17:05,430|1.153|1
2021-09-27 17:30:00,000|2021-09-27 17:31:45,104|1.154|1
2021-09-27 17:45:00,000|2021-09-27 17:46:27,084|1.155|1
2021-09-27 18:00:00,000|2021-09-27 18:01:08,645|1.157|1
2021-09-27 18:15:00,000|2021-09-27 18:16:52,256|1.158|1
2021-09-27 18:30:00,000|2021-09-27 18:31:33,807|1.160|1
2021-09-27 18:45:00,000|2021-09-27 18:46:12,214|1.161|1
2021-09-27 19:00:00,000|2021-09-27 19:01:55,311|1.162|1
2021-09-27 19:15:00,000|2021-09-27 19:16:47,782|1.164|1
2021-09-27 19:30:00,000|2021-09-27 19:31:28,617|1.165|1
2021-09-27 19:45:00,000|2021-09-27 20:01:45,843|1.166|1
2021-09-27 20:00:00,000|2021-09-27 20:01:46,717|1.168|1
2021-09-27 20:15:00,000|2021-09-27 20:16:25,429|1.169|1
2021-09-27 20:30:00,000|2021-09-27 20:32:07,825|1.171|1
2021-09-27 20:45:00,000|2021-09-27 20:46:45,795|1.172|1
2021-09-27 21:00:00,000|2021-09-27 21:01:25,743|1.173|1
2021-09-27 21:15:00,000|2021-09-27 21:17:08,064|1.175|1
2021-09-27 21:30:00,000|2021-09-27 21:31:48,570|1.176|1
2021-09-27 21:45:00,000|2021-09-27 21:46:28,476|1.178|1
2021-09-27 22:00:00,000|2021-09-27 22:16:49,731|1.179|1
2021-09-27 22:15:00,000|2021-09-27 22:16:50,880|1.180|1
2021-09-27 22:30:00,000|2021-09-27 22:31:29,642|1.182|1
2021-09-27 22:45:00,000|2021-09-27 23:01:48,426|1.183|1
2021-09-27 23:00:00,000|2021-09-27 23:01:49,300|1.185|1
2021-09-27 23:15:00,000|2021-09-27 23:16:28,893|1.186|1
2021-09-27 23:30:00,000|2021-09-27 23:46:48,411|1.187|1
2021-09-27 23:45:00,000|2021-09-27 23:46:49,246|1.189|1
2021-09-28 00:00:00,000|2021-09-28 00:01:26,852|1.191|1
2021-09-28 00:15:00,000|2021-09-28 00:31:49,785|1.192|1
2021-09-28 00:30:00,000|2021-09-28 00:31:50,836|1.193|1
2021-09-28 00:45:00,000|2021-09-28 00:46:29,188|1.195|1
2021-09-28 01:00:00,000|2021-09-28 01:02:09,816|1.196|1
2021-09-28 01:15:00,000|2021-09-28 01:16:46,895|1.198|1
2021-09-28 01:30:00,000|2021-09-28 01:31:24,218|1.199|1
2021-09-28 01:45:00,000|2021-09-28 01:47:04,132|1.200|1
2021-09-28 02:00:00,000|2021-09-28 02:01:40,957|1.202|1
2021-09-28 02:15:00,000|2021-09-28 02:16:23,487|1.203|1
2021-09-28 02:30:00,000|2021-09-28 02:32:05,371|1.205|1
