cap_time (utc)|acq_time (utc)|value|origin
2021-09-26 12:15:00,000|2021-09-27 11:13:04,169|0.000|1
2021-09-26 12:30:00,000|2021-09-27 11:13:05,056|0.000|1
2021-09-26 12:45:00,000|2021-09-27 11:13:06,270|0.000|1
2021-09-26 13:00:00,000|2021-09-27 11:13:07,164|0.000|1
2021-09-26 13:15:00,000|2021-09-27 11:13:08,369|0.000|1
2021-09-26 13:30:00,000|2021-09-27 11:13:09,391|0.000|1
2021-09-26 13:45:00,000|2021-09-27 11:13:10,431|0.000|1
2021-09-26 14:00:00,000|2021-09-27 11:13:11,281|0.000|1
2021-09-26 14:15:00,000|2021-09-27 11:13:12,279|0.000|1
2021-09-26 14:30:00,000|2021-09-27 11:13:13,122|0.000|1
2021-09-26 14:45:00,000|2021-09-27 11:13:14,035|0.000|1
2021-09-26 15:00:00,000|2021-09-27 11:13:14,937|0.000|1
2021-09-26 15:15:00,000|2021-09-27 11:13:15,854|0.000|1
2021-09-26 15:30:00,000|2021-09-27 11:13:16,999|0.000|1
2021-09-26 15:45:00,000|2021-09-27 11:13:17,841|0.000|1
2021-09-26 16:00:00,000|2021-09-27 11:13:18,684|0.000|1
2021-09-26 16:15:00,000|2021-09-27 11:13:19,529|0.000|1
2021-09-26 16:30:00,000|2021-09-27 11:13:20,428|0.000|1
2021-09-26 16:45:00,000|2021-09-27 11:13:21,341|0.000|1
2021-09-26 17:00:00,000|2021-09-27 11:13:22,284|0.000|1
2021-09-26 17:15:00,000|2021-09-27 11:13:23,168|0.000|1
2021-09-26 17:30:00,000|2021-09-27 11:13:24,080|0.000|1
2021-09-26 17:45:00,000|2021-09-27 11:13:24,989|0.000|1
2021-09-26 18:00:00,000|2021-09-27 11:13:25,890|0.000|1
2021-09-26 18:15:00,000|2021-09-27 11:13:26,797|0.000|1
2021-09-26 18:30:00,000|2021-09-27 11:13:27,704|0.000|1
2021-09-26 18:45:00,000|2021-09-27 11:13:28,615|0.000|1
2021-09-26 19:00:00,000|2021-09-27 11:13:29,526|0.000|1
2021-09-26 19:15:00,000|2021-09-27 11:13:30,435|0.000|1
2021-09-26 19:30:00,000|2021-09-27 11:13:31,348|0.000|1
2021-09-26 19:45:00,000|2021-09-27 11:13:32,256|0.000|1
2021-09-26 20:00:00,000|2021-09-27 11:13:33,268|0.000|1
2021-09-26 20:15:00,000|2021-09-27 11:13:34,317|0.000|1
2021-09-26 20:30:00,000|2021-09-27 11:13:35,162|0.000|1
2021-09-26 20:45:00,000|2021-09-27 11:13:36,115|0.000|1
2021-09-26 21:00:00,000|2021-09-27 11:13:37,062|0.000|1
2021-09-26 21:15:00,000|2021-09-27 11:13:38,401|0.000|1
2021-09-26 21:30:00,000|2021-09-27 11:13:39,540|0.000|1
2021-09-26 21:45:00,000|2021-09-27 11:13:40,807|0.000|1
2021-09-26 22:00:00,000|2021-09-27 11:13:42,015|0.000|1
2021-09-26 22:15:00,000|2021-09-27 11:13:43,360|0.000|1
2021-09-26 22:30:00,000|2021-09-27 11:13:44,448|0.000|1
2021-09-26 22:45:00,000|2021-09-27 11:13:45,389|0.000|1
2021-09-26 23:00:00,000|2021-09-27 11:13:46,468|0.000|1
2021-09-26 23:15:00,000|2021-09-27 11:13:47,511|0.000|1
2021-09-26 23:30:00,000|2021-09-27 11:13:48,510|0.000|1
2021-09-26 23:45:00,000|2021-09-27 11:13:49,542|0.000|1
2021-09-27 00:00:00,000|2021-09-27 11:13:50,487|0.000|1
2021-09-27 00:15:00,000|2021-09-27 11:13:51,632|0.000|1
2021-09-27 00:30:00,000|2021-09-27 11:13:52,592|0.000|1
2021-09-27 00:45:00,000|2021-09-27 11:13:53,665|0.000|1
2021-09-27 01:00:00,000|2021-09-27 11:13:54,512|0.000|1
2021-09-27 01:15:00,000|2021-09-27 11:13:55,396|0.000|1
2021-09-27 01:30:00,000|2021-09-27 11:13:56,308|0.000|1
2021-09-27 01:45:00,000|2021-09-27 11:13:57,214|0.000|1
2021-09-27 02:00:00,000|2021-09-27 11:13:58,125|0.000|1
2021-09-27 02:15:00,000|2021-09-27 11:13:59,036|0.000|1
2021-09-27 02:30:00,000|2021-09-27 11:13:59,949|0.000|1
2021-09-27 02:45:00,000|2021-09-27 11:14:00,853|0.000|1
2021-09-27 03:00:00,000|2021-09-27 11:14:01,779|0.000|1
2021-09-27 03:15:00,000|2021-09-27 11:14:02,694|0.000|1
2021-09-27 03:30:00,000|2021-09-27 11:14:03,622|0.000|1
2021-09-27 03:45:00,000|2021-09-27 11:14:04,514|0.000|1
2021-09-27 04:00:00,000|2021-09-27 11:14:05,507|0.000|1
2021-09-27 04:15:00,000|2021-09-27 11:14:06,350|0.000|1
2021-09-27 04:30:00,000|2021-09-27 11:14:07,245|0.000|1
2021-09-27 04:45:00,000|2021-09-27 11:14:08,139|0.000|1
2021-09-27 05:00:00,000|2021-09-27 11:14:09,052|0.000|1
2021-09-27 05:15:00,000|2021-09-27 11:14:09,960|0.000|1
2021-09-27 05:30:00,000|2021-09-27 11:14:11,101|0.000|1
2021-09-27 05:45:00,000|2021-09-27 11:14:12,844|0.000|1
2021-09-27 06:00:00,000|2021-09-27 11:14:14,562|0.000|1
2021-09-27 06:15:00,000|2021-09-27 11:14:16,202|0.000|1
2021-09-27 06:30:00,000|2021-09-27 11:14:17,854|0.000|1
2021-09-27 06:45:00,000|2021-09-27 11:14:19,431|0.000|1
2021-09-27 07:00:00,000|2021-09-27 11:14:21,055|0.000|1
2021-09-27 07:15:00,000|2021-09-27 11:14:23,489|0.000|1
2021-09-27 07:30:00,000|2021-09-27 11:14:25,144|0.000|1
2021-09-27 07:45:00,000|2021-09-27 11:14:27,094|0.000|1
2021-09-27 08:00:00,000|2021-09-27 11:14:29,423|0.000|1
2021-09-27 08:15:00,000|2021-09-27 11:14:31,312|0.000|1
2021-09-27 08:30:00,000|2021-09-27 11:14:32,898|0.000|1
2021-09-27 08:45:00,000|2021-09-27 11:14:34,670|0.000|1
2021-09-27 09:00:00,000|2021-09-27 11:14:36,634|0.000|1
2021-09-27 09:15:00,000|2021-09-27 11:14:38,256|0.000|1
2021-09-27 09:30:00,000|2021-09-27 11:14:39,994|0.000|1
2021-09-27 09:45:00,000|2021-09-27 11:14:41,676|0.000|1
2021-09-27 10:00:00,000|2021-09-27 11:14:43,903|0.000|1
2021-09-27 10:15:00,000|2021-09-27 11:14:45,840|0.000|1
2021-09-27 10:30:00,000|2021-09-27 11:14:47,482|0.000|1
2021-09-27 10:45:00,000|2021-09-27 11:14:49,037|0.000|1
2021-09-27 11:00:00,000|2021-09-27 11:14:50,698|0.000|1
2021-09-27 11:15:00,000|2021-09-27 11:16:59,825|0.000|1
2021-09-27 11:30:00,000|2021-09-27 11:31:40,687|0.000|1
2021-09-27 11:45:00,000|2021-09-27 11:46:22,846|0.000|1
2021-09-27 12:00:00,000|2021-09-27 12:16:51,582|0.000|1
2021-09-27 12:15:00,000|2021-09-27 12:16:52,551|0.000|1
2021-09-27 12:30:00,000|2021-09-27 12:31:37,604|0.000|1
2021-09-27 12:45:00,000|2021-09-27 12:46:19,414|0.000|1
2021-09-27 13:00:00,000|2021-09-27 13:02:06,071|0.000|1
2021-09-27 13:15:00,000|2021-09-27 13:16:49,812|0.000|1
2021-09-27 13:30:00,000|2021-09-27 13:31:34,028|0.000|1
2021-09-27 13:45:00,000|2021-09-27 13:46:13,144|0.000|1
2021-09-27 14:00:00,000|2021-09-27 14:01:55,661|0.000|1
2021-09-27 14:15:00,000|2021-09-27 14:16:36,870|0.000|1
2021-09-27 14:30:00,000|2021-09-27 14:31:16,367|0.000|1
2021-09-27 14:45:00,000|2021-09-27 14:47:00,717|0.000|1
2021-09-27 15:00:00,000|2021-09-27 15:01:42,216|0.000|1
2021-09-27 15:15:00,000|2021-09-27 15:16:27,571|0.000|1
2021-09-27 15:30:00,000|2021-09-27 15:31:08,897|0.000|1
2021-09-27 15:45:00,000|2021-09-27 15:46:54,201|0.000|1
2021-09-27 16:00:00,000|2021-09-27 16:01:36,933|0.000|1
2021-09-27 16:15:00,000|2021-09-27 16:16:17,853|0.000|1
2021-09-27 16:30:00,000|2021-09-27 16:32:02,208|0.000|1
2021-09-27 16:45:00,000|2021-09-27 16:46:42,143|0.000|1
2021-09-27 17:00:00,000|2021-09-27 17:01:20,995|0.000|1
2021-09-27 17:15:00,000|2021-09-27 17:17:05,645|0.000|1
2021-09-27 17:30:00,000|2021-09-27 17:31:45,419|0.000|1
2021-09-27 17:45:00,000|2021-09-27 17:46:27,293|0.000|1
2021-09-27 18:00:00,000|2021-09-27 18:01:08,849|0.000|1
2021-09-27 18:15:00,000|2021-09-27 18:16:52,464|0.000|1
2021-09-27 18:30:00,000|2021-09-27 18:31:34,021|0.000|1
2021-09-27 18:45:00,000|2021-09-27 18:46:12,425|0.000|1
2021-09-27 19:00:00,000|2021-09-27 19:01:55,524|0.000|1
2021-09-27 19:15:00,000|2021-09-27 19:16:48,192|0.000|1
2021-09-27 19:30:00,000|2021-09-27 19:31:28,826|0.000|1
2021-09-27 19:45:00,000|2021-09-27 20:01:46,053|0.000|1
2021-09-27 20:00:00,000|2021-09-27 20:01:46,930|0.000|1
2021-09-27 20:15:00,000|2021-09-27 20:16:25,641|0.000|1
2021-09-27 20:30:00,000|2021-09-27 20:32:08,036|0.000|1
2021-09-27 20:45:00,000|2021-09-27 20:46:46,012|0.000|1
2021-09-27 21:00:00,000|2021-09-27 21:01:25,957|0.000|1
2021-09-27 21:15:00,000|2021-09-27 21:17:08,277|0.000|1
2021-09-27 21:30:00,000|2021-09-27 21:31:48,980|0.000|1
2021-09-27 21:45:00,000|2021-09-27 21:46:28,684|0.000|1
2021-09-27 22:00:00,000|2021-09-27 22:16:50,046|0.000|1
2021-09-27 22:15:00,000|2021-09-27 22:16:51,184|0.000|1
2021-09-27 22:30:00,000|2021-09-27 22:31:29,856|0.000|1
2021-09-27 22:45:00,000|2021-09-27 23:01:48,633|0.000|1
2021-09-27 23:00:00,000|2021-09-27 23:01:49,510|0.000|1
2021-09-27 23:15:00,000|2021-09-27 23:16:29,108|0.000|1
2021-09-27 23:30:00,000|2021-09-27 23:46:48,618|0.000|1
2021-09-27 23:45:00,000|2021-09-27 23:46:49,460|0.000|1
