cap_time (utc)|acq_time (utc)|value|origin
2021-09-26 12:15:00,000|2021-09-27 11:13:04,275|401.948|1
2021-09-26 12:30:00,000|2021-09-27 11:13:05,162|402.268|1
2021-09-26 12:45:00,000|2021-09-27 11:13:06,371|402.562|1
2021-09-26 13:00:00,000|2021-09-27 11:13:07,263|402.880|1
2021-09-26 13:15:00,000|2021-09-27 11:13:08,481|403.182|1
2021-09-26 13:30:00,000|2021-09-27 11:13:09,495|403.493|1
2021-09-26 13:45:00,000|2021-09-27 11:13:10,546|403.808|1
2021-09-26 14:00:00,000|2021-09-27 11:13:11,380|404.108|1
2021-09-26 14:15:00,000|2021-09-27 11:13:12,387|404.428|1
2021-09-26 14:30:00,000|2021-09-27 11:13:13,232|404.728|1
2021-09-26 14:45:00,000|2021-09-27 11:13:14,137|405.030|1
2021-09-26 15:00:00,000|2021-09-27 11:13:15,050|405.345|1
2021-09-26 15:15:00,000|2021-09-27 11:13:15,965|405.660|1
2021-09-26 15:30:00,000|2021-09-27 11:13:17,106|405.970|1
2021-09-26 15:45:00,000|2021-09-27 11:13:17,947|406.282|1
2021-09-26 16:00:00,000|2021-09-27 11:13:18,788|406.589|1
2021-09-26 16:15:00,000|2021-09-27 11:13:19,632|406.914|1
2021-09-26 16:30:00,000|2021-09-27 11:13:20,535|407.221|1
2021-09-26 16:45:00,000|2021-09-27 11:13:21,544|407.517|1
2021-09-26 17:00:00,000|2021-09-27 11:13:22,389|407.820|1
2021-09-26 17:15:00,000|2021-09-27 11:13:23,272|408.115|1
2021-09-26 17:30:00,000|2021-09-27 11:13:24,186|408.413|1
2021-09-26 17:45:00,000|2021-09-27 11:13:25,094|408.712|1
2021-09-26 18:00:00,000|2021-09-27 11:13:25,995|408.991|1
2021-09-26 18:15:00,000|2021-09-27 11:13:26,904|409.284|1
2021-09-26 18:30:00,000|2021-09-27 11:13:27,808|409.579|1
2021-09-26 18:45:00,000|2021-09-27 11:13:28,720|409.879|1
2021-09-26 19:00:00,000|2021-09-27 11:13:29,632|410.176|1
2021-09-26 19:15:00,000|2021-09-27 11:13:30,543|410.472|1
2021-09-26 19:30:00,000|2021-09-27 11:13:31,454|410.774|1
2021-09-26 19:45:00,000|2021-09-27 11:13:32,361|411.071|1
2021-09-26 20:00:00,000|2021-09-27 11:13:33,377|411.374|1
2021-09-26 20:15:00,000|2021-09-27 11:13:34,421|411.667|1
2021-09-26 20:30:00,000|2021-09-27 11:13:35,287|411.961|1
2021-09-26 20:45:00,000|2021-09-27 11:13:36,224|412.273|1
2021-09-26 21:00:00,000|2021-09-27 11:13:37,267|412.578|1
2021-09-26 21:15:00,000|2021-09-27 11:13:38,617|412.880|1
2021-09-26 21:30:00,000|2021-09-27 11:13:39,751|413.193|1
2021-09-26 21:45:00,000|2021-09-27 11:13:40,922|413.497|1
2021-09-26 22:00:00,000|2021-09-27 11:13:42,216|413.799|1
2021-09-26 22:15:00,000|2021-09-27 11:13:43,564|414.114|1
2021-09-26 22:30:00,000|2021-09-27 11:13:44,571|414.408|1
2021-09-26 22:45:00,000|2021-09-27 11:13:45,492|414.721|1
2021-09-26 23:00:00,000|2021-09-27 11:13:46,574|415.029|1
2021-09-26 23:15:00,000|2021-09-27 11:13:47,617|415.335|1
2021-09-26 23:30:00,000|2021-09-27 11:13:48,603|415.650|1
2021-09-26 23:45:00,000|2021-09-27 11:13:49,648|415.948|1
2021-09-27 00:00:00,000|2021-09-27 11:13:50,593|416.262|1
2021-09-27 00:15:00,000|2021-09-27 11:13:51,736|416.577|1
2021-09-27 00:30:00,000|2021-09-27 11:13:52,781|416.881|1
2021-09-27 00:45:00,000|2021-09-27 11:13:53,773|417.194|1
2021-09-27 01:00:00,000|2021-09-27 11:13:54,615|417.498|1
2021-09-27 01:15:00,000|2021-09-27 11:13:55,497|417.801|1
2021-09-27 01:30:00,000|2021-09-27 11:13:56,411|418.117|1
2021-09-27 01:45:00,000|2021-09-27 11:13:57,320|418.419|1
2021-09-27 02:00:00,000|2021-09-27 11:13:58,229|418.734|1
2021-09-27 02:15:00,000|2021-09-27 11:13:59,142|419.041|1
2021-09-27 02:30:00,000|2021-09-27 11:14:00,055|419.350|1
2021-09-27 02:45:00,000|2021-09-27 11:14:00,960|419.662|1
2021-09-27 03:00:00,000|2021-09-27 11:14:01,871|419.945|1
2021-09-27 03:15:00,000|2021-09-27 11:14:02,884|420.249|1
2021-09-27 03:30:00,000|2021-09-27 11:14:03,726|420.543|1
2021-09-27 03:45:00,000|2021-09-27 11:14:04,616|420.836|1
2021-09-27 04:00:00,000|2021-09-27 11:14:05,614|421.140|1
2021-09-27 04:15:00,000|2021-09-27 11:14:06,469|421.409|1
2021-09-27 04:30:00,000|2021-09-27 11:14:07,336|421.712|1
2021-09-27 04:45:00,000|2021-09-27 11:14:08,263|421.995|1
2021-09-27 05:00:00,000|2021-09-27 11:14:09,155|422.278|1
2021-09-27 05:15:00,000|2021-09-27 11:14:10,077|422.580|1
2021-09-27 05:30:00,000|2021-09-27 11:14:11,313|422.864|1
2021-09-27 05:45:00,000|2021-09-27 11:14:13,066|423.168|1
2021-09-27 06:00:00,000|2021-09-27 11:14:14,763|423.518|1
2021-09-27 06:15:00,000|2021-09-27 11:14:16,406|423.914|1
2021-09-27 06:30:00,000|2021-09-27 11:14:18,078|424.306|1
2021-09-27 06:45:00,000|2021-09-27 11:14:19,618|424.671|1
2021-09-27 07:00:00,000|2021-09-27 11:14:21,258|425.067|1
2021-09-27 07:15:00,000|2021-09-27 11:14:23,684|425.443|1
2021-09-27 07:30:00,000|2021-09-27 11:14:25,354|425.823|1
2021-09-27 07:45:00,000|2021-09-27 11:14:27,395|426.214|1
2021-09-27 08:00:00,000|2021-09-27 11:14:29,660|426.569|1
2021-09-27 08:15:00,000|2021-09-27 11:14:31,510|426.964|1
2021-09-27 08:30:00,000|2021-09-27 11:14:33,142|427.357|1
2021-09-27 08:45:00,000|2021-09-27 11:14:34,891|427.734|1
2021-09-27 09:00:00,000|2021-09-27 11:14:36,809|428.120|1
2021-09-27 09:15:00,000|2021-09-27 11:14:38,510|428.468|1
2021-09-27 09:30:00,000|2021-09-27 11:14:40,210|428.850|1
2021-09-27 09:45:00,000|2021-09-27 11:14:42,002|429.209|1
2021-09-27 10:00:00,000|2021-09-27 11:14:44,104|429.578|1
2021-09-27 10:15:00,000|2021-09-27 11:14:46,070|429.950|1
2021-09-27 10:30:00,000|2021-09-27 11:14:47,687|430.307|1
2021-09-27 10:45:00,000|2021-09-27 11:14:49,273|430.683|1
2021-09-27 11:00:00,000|2021-09-27 11:14:50,957|431.001|1
2021-09-27 11:15:00,000|2021-09-27 11:17:00,043|431.139|1
2021-09-27 11:30:00,000|2021-09-27 11:31:40,794|431.494|1
2021-09-27 11:45:00,000|2021-09-27 11:46:22,946|431.853|1
2021-09-27 12:00:00,000|2021-09-27 12:16:51,683|432.221|1
2021-09-27 12:15:00,000|2021-09-27 12:16:52,724|432.629|1
2021-09-27 12:30:00,000|2021-09-27 12:31:37,708|433.001|1
2021-09-27 12:45:00,000|2021-09-27 12:46:19,522|433.371|1
2021-09-27 13:00:00,000|2021-09-27 13:02:06,287|433.742|1
2021-09-27 13:15:00,000|2021-09-27 13:16:50,023|434.103|1
2021-09-27 13:30:00,000|2021-09-27 13:31:34,249|434.470|1
2021-09-27 13:45:00,000|2021-09-27 13:46:13,349|434.873|1
2021-09-27 14:00:00,000|2021-09-27 14:01:55,760|435.261|1
2021-09-27 14:15:00,000|2021-09-27 14:16:36,975|435.631|1
2021-09-27 14:30:00,000|2021-09-27 14:31:16,474|436.012|1
2021-09-27 14:45:00,000|2021-09-27 14:47:00,823|436.398|1
2021-09-27 15:00:00,000|2021-09-27 15:01:42,419|436.785|1
2021-09-27 15:15:00,000|2021-09-27 15:16:27,754|437.151|1
2021-09-27 15:30:00,000|2021-09-27 15:31:09,002|437.515|1
2021-09-27 15:45:00,000|2021-09-27 15:46:54,310|437.886|1
2021-09-27 16:00:00,000|2021-09-27 16:01:37,152|438.276|1
2021-09-27 16:15:00,000|2021-09-27 16:16:17,952|438.662|1
2021-09-27 16:30:00,000|2021-09-27 16:32:02,315|439.037|1
2021-09-27 16:45:00,000|2021-09-27 16:46:42,249|439.414|1
2021-09-27 17:00:00,000|2021-09-27 17:01:21,194|439.737|1
2021-09-27 17:15:00,000|2021-09-27 17:17:05,748|440.081|1
2021-09-27 17:30:00,000|2021-09-27 17:31:45,526|440.436|1
2021-09-27 17:45:00,000|2021-09-27 17:46:27,502|440.786|1
2021-09-27 18:00:00,000|2021-09-27 18:01:08,951|441.098|1
2021-09-27 18:15:00,000|2021-09-27 18:16:52,569|441.410|1
2021-09-27 18:30:00,000|2021-09-27 18:31:34,125|441.731|1
2021-09-27 18:45:00,000|2021-09-27 18:46:12,528|442.038|1
2021-09-27 19:00:00,000|2021-09-27 19:01:55,630|442.344|1
2021-09-27 19:15:00,000|2021-09-27 19:16:48,296|442.659|1
2021-09-27 19:30:00,000|2021-09-27 19:31:28,932|442.986|1
2021-09-27 19:45:00,000|2021-09-27 20:01:46,158|443.287|1
2021-09-27 20:00:00,000|2021-09-27 20:01:47,035|443.611|1
2021-09-27 20:15:00,000|2021-09-27 20:16:25,742|443.935|1
2021-09-27 20:30:00,000|2021-09-27 20:32:08,140|444.256|1
2021-09-27 20:45:00,000|2021-09-27 20:46:46,120|444.581|1
2021-09-27 21:00:00,000|2021-09-27 21:01:26,058|444.909|1
2021-09-27 21:15:00,000|2021-09-27 21:17:08,374|445.247|1
2021-09-27 21:30:00,000|2021-09-27 21:31:49,183|445.570|1
2021-09-27 21:45:00,000|2021-09-27 21:46:28,790|445.909|1
2021-09-27 22:00:00,000|2021-09-27 22:16:50,133|446.245|1
2021-09-27 22:15:00,000|2021-09-27 22:16:51,282|446.573|1
2021-09-27 22:30:00,000|2021-09-27 22:31:29,963|446.907|1
2021-09-27 22:45:00,000|2021-09-27 23:01:48,737|447.226|1
2021-09-27 23:00:00,000|2021-09-27 23:01:49,616|447.548|1
2021-09-27 23:15:00,000|2021-09-27 23:16:29,210|447.861|1
2021-09-27 23:30:00,000|2021-09-27 23:46:48,722|448.194|1
2021-09-27 23:45:00,000|2021-09-27 23:46:49,564|448.506|1
2021-09-28 00:00:00,000|2021-09-28 00:01:27,169|448.821|1
2021-09-28 00:15:00,000|2021-09-28 00:31:50,312|449.126|1
2021-09-28 00:30:00,000|2021-09-28 00:31:51,158|449.440|1
2021-09-28 00:45:00,000|2021-09-28 00:46:29,497|449.741|1
2021-09-28 01:00:00,000|2021-09-28 01:02:10,135|450.042|1
2021-09-28 01:15:00,000|2021-09-28 01:16:47,212|450.369|1
2021-09-28 01:30:00,000|2021-09-28 01:31:24,530|450.672|1
2021-09-28 01:45:00,000|2021-09-28 01:47:04,447|450.991|1
2021-09-28 02:00:00,000|2021-09-28 02:01:41,273|451.310|1
2021-09-28 02:15:00,000|2021-09-28 02:16:23,948|451.624|1
2021-09-28 02:30:00,000|2021-09-28 02:32:05,680|451.944|1
2021-09-28 02:45:00,000|2021-09-28 02:46:42,723|452.249|1
2021-09-28 03:00:00,000|2021-09-28 03:01:22,284|452.566|1
2021-09-28 03:15:00,000|2021-09-28 03:17:03,073|452.875|1
2021-09-28 03:30:00,000|2021-09-28 03:31:41,620|453.180|1
2021-09-28 03:45:00,000|2021-09-28 03:46:18,945|453.504|1
2021-09-28 04:00:00,000|2021-09-28 04:01:58,861|453.794|1
2021-09-28 04:15:00,000|2021-09-28 04:16:37,078|454.098|1
2021-09-28 04:30:00,000|2021-09-28 04:31:17,330|454.405|1
2021-09-28 04:45:00,000|2021-09-28 04:46:59,580|454.697|1
2021-09-28 05:00:00,000|2021-09-28 05:01:38,024|454.994|1
2021-09-28 05:15:00,000|2021-09-28 05:16:19,173|455.285|1
2021-09-28 05:30:00,000|2021-09-28 05:32:02,527|455.597|1
2021-09-28 05:45:00,000|2021-09-28 05:46:40,708|455.926|1
2021-09-28 06:00:00,000|2021-09-28 06:01:19,940|456.280|1
2021-09-28 06:15:00,000|2021-09-28 06:17:03,237|456.675|1
2021-09-28 06:30:00,000|2021-09-28 06:31:43,214|457.060|1
2021-09-28 06:45:00,000|2021-09-28 06:46:21,279|457.462|1
2021-09-28 07:00:00,000|2021-09-28 07:02:04,177|457.843|1
2021-09-28 07:15:00,000|2021-09-28 07:16:44,352|458.180|1
2021-09-28 07:30:00,000|2021-09-28 07:31:23,504|458.559|1
2021-09-28 07:45:00,000|2021-09-28 07:47:04,804|458.896|1
2021-09-28 08:00:00,000|2021-09-28 08:01:44,405|459.250|1
2021-09-28 08:15:00,000|2021-09-28 08:16:25,970|459.608|1
2021-09-28 08:30:00,000|2021-09-28 08:32:06,989|459.953|1
2021-09-28 08:45:00,000|2021-09-28 08:46:45,145|460.297|1
2021-09-28 09:00:00,000|2021-09-28 09:01:24,046|460.618|1
2021-09-28 09:15:00,000|2021-09-28 09:17:06,872|460.945|1
2021-09-28 09:30:00,000|2021-09-28 09:31:47,599|461.266|1
2021-09-28 09:45:00,000|2021-09-28 09:46:26,640|461.610|1
2021-09-28 10:00:00,000|2021-09-28 10:02:09,151|461.965|1
2021-09-28 10:15:00,000|2021-09-28 10:16:52,017|462.292|1
2021-09-28 10:30:00,000|2021-09-28 10:31:35,123|462.631|1
2021-09-28 10:45:00,000|2021-09-28 10:46:18,063|462.960|1
2021-09-28 11:00:00,000|2021-09-28 11:02:02,194|463.323|1
2021-09-28 11:15:00,000|2021-09-28 11:16:43,343|463.685|1
2021-09-28 11:30:00,000|2021-09-28 11:31:25,561|464.080|1
2021-09-28 11:45:00,000|2021-09-28 11:47:10,528|464.427|1
2021-09-28 12:00:00,000|2021-09-28 12:01:53,875|464.782|1
2021-09-28 12:15:00,000|2021-09-28 12:16:36,778|465.172|1
2021-09-28 12:30:00,000|2021-09-28 12:31:21,070|465.544|1
2021-09-28 12:45:00,000|2021-09-28 12:47:08,726|465.924|1
2021-09-28 13:00:00,000|2021-09-28 13:01:52,081|466.283|1
2021-09-28 13:15:00,000|2021-09-28 13:16:33,892|466.597|1
2021-09-28 13:30:00,000|2021-09-28 13:31:19,330|466.942|1
2021-09-28 13:45:00,000|2021-09-28 13:47:01,850|467.298|1
2021-09-28 14:00:00,000|2021-09-28 14:01:43,144|467.688|1
2021-09-28 14:15:00,000|2021-09-28 14:16:23,676|468.137|1
2021-09-28 14:30:00,000|2021-09-28 14:47:12,543|468.495|1
2021-09-28 14:45:00,000|2021-09-28 14:47:13,388|468.842|1
2021-09-28 15:00:00,000|2021-09-28 15:01:53,348|469.192|1
2021-09-28 15:15:00,000|2021-09-28 15:16:42,578|469.572|1
2021-09-28 15:30:00,000|2021-09-28 15:31:31,496|469.968|1
2021-09-28 15:45:00,000|2021-09-28 15:46:22,409|470.350|1
2021-09-28 16:00:00,000|2021-09-28 16:02:10,191|470.757|1
2021-09-28 16:15:00,000|2021-09-28 16:16:52,199|471.190|1
2021-09-28 16:30:00,000|2021-09-28 16:31:35,759|471.604|1
2021-09-28 16:45:00,000|2021-09-28 17:01:55,516|471.985|1
2021-09-28 17:00:00,000|2021-09-28 17:01:56,349|472.343|1
2021-09-28 17:15:00,000|2021-09-28 17:16:38,713|472.697|1
2021-09-28 17:30:00,000|2021-09-28 17:31:35,843|473.066|1
2021-09-28 17:45:00,000|2021-09-28 18:01:55,292|473.375|1
2021-09-28 18:00:00,000|2021-09-28 18:01:56,139|473.697|1
2021-09-28 18:15:00,000|2021-09-28 18:16:36,602|474.026|1
2021-09-28 18:30:00,000|2021-09-28 18:31:17,992|474.355|1
2021-09-28 18:45:00,000|2021-09-28 18:46:59,380|474.672|1
2021-09-28 19:00:00,000|2021-09-28 19:01:39,382|475.003|1
2021-09-28 19:15:00,000|2021-09-28 19:16:23,536|475.331|1
2021-09-28 19:30:00,000|2021-09-28 19:32:05,896|475.656|1
2021-09-28 19:45:00,000|2021-09-28 19:46:43,648|475.993|1
2021-09-28 20:00:00,000|2021-09-28 20:01:22,503|476.321|1
2021-09-28 20:15:00,000|2021-09-28 20:17:05,536|476.658|1
2021-09-28 20:30:00,000|2021-09-28 20:31:42,829|476.990|1
2021-09-28 20:45:00,000|2021-09-28 20:46:21,781|477.316|1
2021-09-28 21:00:00,000|2021-09-28 21:02:03,153|477.639|1
2021-09-28 21:15:00,000|2021-09-28 21:16:42,835|477.968|1
2021-09-28 21:30:00,000|2021-09-28 21:31:23,498|478.298|1
